Season_Episode_Name,Rating,Link,Story,Director,Writers,Stars
S3.E12 ∙ The Psychic Vortex,8.2,https://www.imdb.com//title/tt1567073/?ref_=ttep_ep_12,Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Eric Kaplan']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E13 ∙ The Bozeman Reaction,8.0,https://www.imdb.com//title/tt1570312/?ref_=ttep_ep_13,"When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E14 ∙ The Einstein Approximation,8.4,https://www.imdb.com//title/tt1588684/?ref_=ttep_ep_14,Sheldon wreaks havoc when he is stumped by a difficult physics question.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E15 ∙ The Large Hadron Collision,8.0,https://www.imdb.com//title/tt1589887/?ref_=ttep_ep_15,"When Leonard is offered a trip to Switzerland on Valentine's Day to visit the CERN laboratory, Sheldon uses any and all means to be his guest instead of Penny.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E16 ∙ The Excelsior Acquisition,8.2,https://www.imdb.com//title/tt1592080/?ref_=ttep_ep_16,Sheldon misses an opportunity to get Stan Lee's autograph because he has to make an appearance in traffic court.,['Peter Chakos'],"['Chuck Lorre, Bill Prady, Steve Holland']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E17 ∙ The Precious Fragmentation,8.4,https://www.imdb.com//title/tt1607974/?ref_=ttep_ep_17,"The guys' friendship is threatened when they find a ring from the ""Lord of the Rings"" trilogy.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E18 ∙ The Pants Alternative,8.4,https://www.imdb.com//title/tt1609715/?ref_=ttep_ep_18,Sheldon seeks help from the rest of the gang in overcoming his fear of public speaking when he receives an award.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Eric Kaplan']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E19 ∙ The Wheaton Recurrence,7.8,https://www.imdb.com//title/tt1609410/?ref_=ttep_ep_19,Sheldon takes on Wil Wheaton in a game of bowling. Leonard and Penny's relationship comes to a crossroad.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E20 ∙ The Spaghetti Catalyst,8.1,https://www.imdb.com//title/tt1628617/?ref_=ttep_ep_20,Sheldon is forced to go behind Leonard's back to spend time with Penny following their breakup.,['Anthony Rich'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E21 ∙ The Plimpton Stimulation,8.1,https://www.imdb.com//title/tt1648755/?ref_=ttep_ep_21,Chaos ensues when a nymphomaniac physicist visiting Sheldon hooks up with Leonard.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E22 ∙ The Staircase Implementation,9.0,https://www.imdb.com//title/tt1648756/?ref_=ttep_ep_22,Leonard tells Penny about how he and Sheldon became roommates and what happened to the elevator.,['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, David Goetsch']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S3.E23 ∙ The Lunar Excitation,8.6,https://www.imdb.com//title/tt1627740/?ref_=ttep_ep_23,"Penny has a night of angry, drunken sex with Leonard, much to his confusion. Meanwhile, Howard and Raj search for Sheldon's perfect match online.",['Peter Chakos'],"['Chuck Lorre, Bill Prady, Lee Aronsohn']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S4.E1 ∙ The Robotic Manipulation,8.7,https://www.imdb.com//title/tt1632224/?ref_=ttep_ep_1,"Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
S4.E2 ∙ The Cruciferous Vegetable Amplification,8.3,https://www.imdb.com//title/tt1632235/?ref_=ttep_ep_2,"When Sheldon calculates the technology to download his consciousness into a robot won't be invented soon enough, he desperately tries to find a way to increase his lifespan.",['Mark Cendrowski'],"['Chuck Lorre, Bill Prady, Steven Molaro']","['Johnny Galecki, Jim Parsons, Kaley Cuoco']"
