고급휘발유,보통휘발유,경유,실내등유,상표 URL,주유소 이름,세차장,충전소,경정비,편의점,24시영업,주소,상표
2497,2297,2197,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,한남지점,False,False,False,False,False,서울 용산구 한남대로21길 4 (한남동),SK에너지
2497,2297,2197,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,에너비스,True,False,False,False,False,서울 용산구 한남대로 82 (한남동),SK에너지
2502,2310,2192,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,한석주유소,True,False,False,False,True,서울 용산구 이촌로 164,SK에너지
1898,1644,1504,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,불광주유소,True,False,False,False,False,서울 은평구 연서로 314,HD현대오일뱅크
False,1644,1504,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,박석고개주유소,True,False,False,False,True,서울 은평구 통일로 945 (갈현동),SK에너지
False,1644,1534,1600,https://www.opinet.co.kr/images/user/com/icon_sk.gif,타이거주유소,True,False,False,False,False,서울 은평구 수색로 188 (증산동),SK에너지
False,1644,1504,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,㈜한화미 구파발주유소,False,False,False,False,False,서울 은평구 통일로 1031,S-OIL
False,1649,1544,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,㈜오일닷컴 다회주유소,False,False,False,False,False,서울 은평구 증산로 441,S-OIL
1839,1653,1543,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)아이에스피에너지(서울서부고속주유소),False,False,False,False,False,서울 은평구 응암로 163,HD현대오일뱅크
1904,1654,1544,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스(주)수색뉴타운주유소,True,False,False,False,False,서울 은평구 수색로 350 (수색동),GS칼텍스
1914,1659,1554,1452,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 서부주유소,True,False,True,False,False,서울 은평구 응암로 210 (응암동),GS칼텍스
1909,1659,1554,1454,https://www.opinet.co.kr/images/user/com/icon_gs.gif,지에스칼텍스㈜ 신사제일주유소,True,False,False,False,True,서울 은평구 증산로 423 (신사동),GS칼텍스
1844,1674,1504,1449,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)디오티디 은평유니콘주유소,True,False,False,False,False,서울 은평구 통일로 1151 (진관동),HD현대오일뱅크
1915,1685,1545,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,대성산업㈜ 대성주유소,True,False,False,False,True,서울 은평구 통일로 642,GS칼텍스
False,1685,1585,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)명연에너지 수색훼미리주유소,True,False,False,False,False,서울 은평구 수색로 236 (수색동),HD현대오일뱅크
1925,1695,1565,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,성원이앤에스(주)은평지점,True,False,False,False,False,서울 은평구 통일로 968 (진관동),GS칼텍스
False,1715,1585,1495,https://www.opinet.co.kr/images/user/com/icon_sk.gif,㈜삼호에너지 은평뉴타운셀프주유소,True,False,True,False,False,서울 은평구 통일로 924 (불광동),SK에너지
False,1783,1653,False,https://www.opinet.co.kr/images/user/com/icon_pb.gif,코끼리주유소,True,False,False,False,False,서울 은평구 서오릉로 41 (녹번동),자가상표
False,1674,1579,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 재동주유소,False,False,False,False,False,서울 종로구 율곡로 58 (경운동),HD현대오일뱅크
2055,1675,1575,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,(주)중앙에너비스 혜화주유소,False,False,False,False,False,서울 종로구 창경궁로35길 1,SK에너지
