기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
(주)씨앤알테크,False,업력 11년차,중소기업,4 명,"8억 8,633만원","5,722 만원","3,277만원","6,727만원"
(주)스튜디오랩,False,업력 5년차,중소기업,14 명,1억 902만원,"5,903 만원","3,244만원","7,323만원"
(주)민트로봇,False,업력 10년차,중소기업,False,"11억 6,331만원",False,False,False
스토브리코리아(주),False,업력 15년차,중견기업,False,False,"8,095 만원","4,330만원","8,857만원"
(주)비욘드허니컴,False,업력 6년차,중소기업,26 명,"9억 1,372만원","6,317 만원","3,332만원","7,610만원"
(주)도구공간,False,업력 9년차,중소기업,40 명,"14억 2,300만원","4,927 만원","2,927만원","6,716만원"
(주)팀로보틱스,False,업력 2년차,중소기업,9 명,False,"4,991 만원","2,963만원","6,750만원"
(주)토트,False,업력 5년차,중소기업,14 명,"11억 3,911만원","5,247 만원","3,021만원","6,888만원"
(주)아카에이아이,False,업력 7년차,중소기업,7 명,"7억 5,904만원","3,660 만원","2,677만원","5,644만원"
(주)아트와,False,업력 5년차,중소기업,10 명,"1억 1,560만원","3,907 만원","2,568만원","5,601만원"
(주)시아,False,업력 3년차,중소기업,5 명,"7,824만원","2,813 만원","2,061만원","5,162만원"
(주)이스타이엔지,False,업력 5년차,중소기업,6 명,"12억 6,668만원","3,264 만원","2,465만원","5,025만원"
아비만로보랩 주식회사,False,업력 3년차,False,False,False,"5,766 만원","3,295만원","6,856만원"
코리아소프트(주),False,업력 8년차,중소기업,12 명,"14억 7,384만원","5,848 만원","3,348만원","7,554만원"
케이에이앤,False,False,중소기업,False,"3억 9,590만원",False,False,False
(주)에스와이이노테크,False,업력 11년차,중소기업,6 명,"13억 6,072만원","4,787 만원","3,099만원","6,051만원"
(주)클레빌,False,업력 5년차,중소기업,3 명,"2억 1,336만원","3,982 만원","2,622만원","5,519만원"
리릭코리아(주),False,업력 3년차,중견기업,6 명,False,"6,210 만원","3,637만원","6,980만원"
아이브이에스IVS,False,False,중소기업,False,"2억 9,807만원",False,False,False
(주)하이제라네트웍스,False,업력 5년차,중소기업,7 명,"1억 2,783만원","5,012 만원","3,085만원","6,543만원"
(주)로보다인시스템,False,업력 8년차,중소기업,10 명,False,"4,077 만원","2,640만원","5,713만원"
위드포스(주),False,업력 3년차,중소기업,8 명,"1,800만원","6,824 만원","3,614만원","7,647만원"
(주)오토기어드,False,업력 3년차,중소기업,3 명,909만원,False,False,False
지성솔루션(주),False,업력 11년차,중소기업,6 명,"10억 8,948만원","5,346 만원","3,281만원","6,290만원"
로보웍스(주),False,업력 15년차,중소기업,5 명,"3억 2,997만원","3,507 만원","2,555만원","5,570만원"
(주)로봇앤모어,False,업력 9년차,중소기업,10 명,"9억 2,366만원","5,215 만원","3,049만원","7,133만원"
(주)베이스스톤,False,업력 8년차,중소기업,3 명,"1,185만원","3,863 만원","2,584만원","5,495만원"
(주)에프엠,False,False,스타트업,6 명,False,"4,782 만원","3,069만원","6,159만원"
(주)스티그마,False,업력 2년차,중소기업,3 명,False,False,False,False
오랩스(주),False,업력 8년차,중소기업,False,"2억 5,188만원",False,False,False
(주)쿳션,False,업력 4년차,중소기업,20 명,"2억 4,927만원","3,619 만원","2,574만원","5,766만원"
(주)옐로펀트로봇,False,업력 4년차,중소기업,7 명,8억 691만원,"4,676 만원","3,060만원","5,995만원"
써니팩토리,False,False,중소기업,False,"12억 6,176만원",False,False,False
(주)페이텀,False,업력 24년차,중소기업,False,False,False,False,False
(주)레디츠,False,업력 5년차,중소기업,3 명,"2억 6,647만원","3,190 만원","2,381만원","5,439만원"
