Season,Episode,Name,Rating,Story,Director,Writers,Stars
3,5,The Creepy Candy Coating Corollary,8.3,"Leonard is forced to ask Penny to set Howard up with one of her friends, while Sheldon seeks payback against sci-fi star Wil Wheaton.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,6,The Cornhusker Vortex,7.4,"Leonard tries to learn about football to fit in with Penny's friends. Meanwhile, a loss in a kite war threatens to end Raj and Howard's friendship.",Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,7,The Guitarist Amplification,7.8,Sheldon is caught in the middle when Leonard and Penny argue about Penny's friend staying at her apartment.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,8,The Adhesive Duck Deficiency,8.9,"Penny is forced to turn to Sheldon for help when she dislocates her shoulder in the bathtub. Meanwhile, the rest of the guys accidentally get stoned in the desert while waiting for a meteor shower.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,9,The Vengeance Formulation,8.3,Sheldon plans revenge after Kripke humiliates him on the radio. Howard develops doubts about his relationship with Bernadette.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Richard Rosenstock","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,10,The Gorilla Experiment,8.4,"Sheldon attempts to help Penny understand physics to impress Leonard, while Howard becomes jealous when Bernadette takes an interest in Leonard's research.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,11,The Maternal Congruence,8.2,Leonard's mother makes a visit to his dismay and Sheldon's delight.,Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,12,The Psychic Vortex,8.2,Raj talks Sheldon into being his wingman at a university mixer. Leonard has trouble dealing with Penny consulting a psychic.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,13,The Bozeman Reaction,8.0,"When their apartment is robbed, Leonard and Sheldon turn to Howard and Raj to create a state-of-the-art security system.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,14,The Einstein Approximation,8.4,Sheldon wreaks havoc when he is stumped by a difficult physics question.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,15,The Large Hadron Collision,8.0,"When Leonard is offered a trip to Switzerland on Valentine's Day to visit the CERN laboratory, Sheldon uses any and all means to be his guest instead of Penny.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,16,The Excelsior Acquisition,8.2,Sheldon misses an opportunity to get Stan Lee's autograph because he has to make an appearance in traffic court.,Peter Chakos,"Chuck Lorre, Bill Prady, Steve Holland","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,17,The Precious Fragmentation,8.4,"The guys' friendship is threatened when they find a ring from the ""Lord of the Rings"" trilogy.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,18,The Pants Alternative,8.4,Sheldon seeks help from the rest of the gang in overcoming his fear of public speaking when he receives an award.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,19,The Wheaton Recurrence,7.8,Sheldon takes on Wil Wheaton in a game of bowling. Leonard and Penny's relationship comes to a crossroad.,Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,20,The Spaghetti Catalyst,8.1,Sheldon is forced to go behind Leonard's back to spend time with Penny following their breakup.,Anthony Rich,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,21,The Plimpton Stimulation,8.1,Chaos ensues when a nymphomaniac physicist visiting Sheldon hooks up with Leonard.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,22,The Staircase Implementation,9.0,Leonard tells Penny about how he and Sheldon became roommates and what happened to the elevator.,Mark Cendrowski,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
3,23,The Lunar Excitation,8.6,"Penny has a night of angry, drunken sex with Leonard, much to his confusion. Meanwhile, Howard and Raj search for Sheldon's perfect match online.",Peter Chakos,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,1,The Robotic Manipulation,8.7,"Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,2,The Cruciferous Vegetable Amplification,8.3,"When Sheldon calculates the technology to download his consciousness into a robot won't be invented soon enough, he desperately tries to find a way to increase his lifespan.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,3,The Zazzy Substitution,7.9,"Following his 'breakup' with Amy, the gang become concerned with Sheldon's obsessive search for non-human companionship and call his mother to intervene.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,4,The Hot Troll Deviation,8.0,"Howard tries to get Penny's help in winning back Bernadette, but first has to confess the embarrassing reason why they broke up in the first place. Raj and Sheldon clash over a desk.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,5,The Desperation Emanation,7.6,"Sheldon is scared that he is in a relationship when Amy asks him to meet her mother, and Leonard asks Howard and Bernadette to set him up because he is the only person in the group without a girlfriend.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,6,The Irish Pub Formulation,8.0,"Leonard tries to keep everyone from finding out that he spent the night with Raj's sister, but Sheldon finds out and concocts an elaborate story to help him keep the secret from Raj.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,7,The Apology Insufficiency,8.0,An FBI agent interviews the guys when Howard needs to obtain a security clearance.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,8,The 21-Second Excitation,8.1,"The guys camp out all night waiting to see an extended cut of Indiana Jones, while Amy joins in on girls' night with Penny and Bernadette.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,9,The Boyfriend Complexity,8.4,"Penny asks Leonard to pose as her boyfriend when her father visits. Howard, Raj and Bernadette have an awkward encounter when they spend the evening together.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,10,The Alien Parasite Hypothesis,7.6,"Amy discovers some unusual feelings and urges when she meets Penny's ex-boyfriend, Zack. Meanwhile, Howard and Raj argue over who would be a superhero and who would be their sidekick.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,11,The Justice League Recombination,8.6,The guys enter a costume contest as members of the Justice League and convince Penny and Zack to join them.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,12,The Bus Pants Utilization,7.5,"Leonard has an idea for a new smartphone app and asks the guys for help, however Sheldon tries to take over the project, and Leonard fires him.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,13,The Love Car Displacement,8.2,Chaos ensues when the gang spend the weekend together at a science convention.,Anthony Rich,"Chuck Lorre, Bill Prady, Lee Aronsohn","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,14,The Thespian Catalyst,7.7,"To improve his skills as an instructor, Sheldon asks Penny to give him acting lessons. Meanwhile, Raj begins having impure fantasies about Bernadette.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
